index,Diameter (nm),Cell_type,Concentration (g/L),Viability (%),Coat,Line_Primary_Cell,Animal,Cell_morphology,Cell_age,Cell_organ,Time (h),Test,Test_indicator,Molecular weight (g/mol),Electronegativity,Elements,Ionic radius
2717,12.0,69,0.0006487508587381,52.38526,3,0,9,3,2,36,6,3,9,231.5326,2.75,11,0.8525
642,50.0,6,0.1,33.676,10,0,5,2,1,17,72,16,7,107.8682,1.93,0,1.086666666666667
3424,12.5,64,0.05,50.356,18,0,5,2,1,6,48,12,4,195.084,2.28,16,0.805
4217,35.0,6,4.189753145603979e-07,68.59472,0,0,5,2,0,41,4,24,20,79.8658,2.806666666666667,19,0.8516666666666667
3650,240.0,113,3.901157689198649e-10,104.888885,0,1,5,7,0,41,24,22,16,60.0843,2.926666666666666,18,0.54
937,61.06,16,0.005,107.46,8,1,5,3,4,21,24,16,7,196.966569,2.54,2,1.07
798,239.0,30,5.996465006486421e-11,35.18226,0,1,5,0,0,38,12,14,15,101.9612772,2.708,1,0.675
105,29.57,47,0.25,0.0,0,0,5,2,1,7,48,5,0,107.8682,1.93,0,1.086666666666667
2993,10.0,91,0.075,101.79,36,0,5,2,1,4,3,19,5,231.5326,2.75,11,0.8525
2801,4.0,14,0.1,99.179,0,0,5,2,1,16,2,17,7,12.0107,2.55,4,0.3
3629,60.0,44,1.5021075e-08,105.36585,0,1,5,0,2,48,48,4,9,60.0843,2.926666666666666,18,0.54
4606,16.0,87,4.071825426879895e-08,52.859447,0,0,9,11,0,29,24,14,15,81.4084,2.545,20,0.88
4261,47.83,60,1.045209957862137e-08,100.0,0,0,10,2,0,39,24,23,20,79.8658,2.806666666666667,19,0.8516666666666667
740,39.7,30,0.1,91.749,0,1,5,2,1,14,12,17,7,101.9612772,2.708,1,0.675
2323,361.4,87,9.277207573987139e-12,110.41544,28,0,9,11,0,29,72,9,9,231.5326,2.75,11,0.8525
4115,150.0,25,3.480086993528853e-10,92.73183,0,1,5,3,0,45,4,16,20,79.8658,2.806666666666667,19,0.8516666666666667
1538,93.13,6,3.921531710546785e-05,1.0163151,0,0,5,2,0,41,24,17,20,632.5663,2.586144578313253,4,0.3
1890,179.3,80,8.668671717265826e-11,13.747017,0,0,9,12,0,32,24,17,20,128.4104,2.565,6,1.09
3401,13.5,47,2.344627640826832e-06,32.25,19,0,5,2,0,34,72,10,16,195.084,2.28,16,0.805
1265,28.18,74,0.0196966569,103.96436,9,0,5,2,0,41,48,17,20,196.966569,2.54,2,1.07
2943,42.5,30,0.1,95.724,0,1,5,2,1,14,12,17,7,231.5326,2.75,11,0.8525
2314,361.4,87,7.421766059189711e-11,73.809525,28,0,9,11,0,29,72,9,9,231.5326,2.75,11,0.8525
1874,21.0,88,0.005,98.923,0,0,9,11,1,1,24,23,7,12.0107,2.55,4,0.3
805,239.0,30,5.996465006486421e-15,93.25843,0,1,5,0,0,38,24,17,20,101.9612772,2.708,1,0.675
4400,15.0,35,0.2,32.7,0,0,5,2,3,15,72,17,7,79.8658,2.806666666666667,19,0.8516666666666667
4853,100.0,91,0.035,56.114,0,0,5,2,1,4,6,19,5,81.4084,2.545,20,0.88
2652,145.8,87,7.053159795596625e-11,96.38087,32,0,9,11,0,29,72,15,22,231.5326,2.75,11,0.8525
1395,215.0,105,0.0003,91.265,0,0,5,13,4,3,24,17,7,196.966569,2.54,2,1.07
4840,141.0,92,0.1,5.9222,0,0,11,3,1,10,24,17,7,81.4084,2.545,20,0.88
351,28.41,45,3.555454180043988e-08,55.31915,0,0,5,5,0,45,72,3,9,107.8682,1.93,0,1.086666666666667
4543,60.0,90,0.000814084,55.583572,0,0,5,2,0,31,48,16,20,81.4084,2.545,20,0.88
4740,200.0,48,0.016,80.994,0,0,5,2,1,16,24,17,7,81.4084,2.545,20,0.88
2185,30.09,106,0.1,0.385,0,1,5,14,1,4,48,19,5,79.5454,2.67,10,0.82
1938,4.7,111,0.01093,84.667,0,0,9,12,1,5,24,17,7,172.1148,2.666666666666667,7,1.08
3384,13.5,65,5.861569102067081e-07,91.18671,33,0,5,2,0,33,24,10,16,195.084,2.28,16,0.805
2683,30.0,73,5.190006869905383e-07,96.25,16,1,5,10,0,29,24,18,21,231.5326,2.75,11,0.8525
4265,47.83,51,1.672335932579419e-07,90.134529,0,0,5,14,0,39,24,23,20,79.8658,2.806666666666667,19,0.8516666666666667
1166,30.0,75,0.005,80.584,0,0,5,3,1,21,72,17,7,196.966569,2.54,2,1.07
4418,38.0,44,1.091240621311237e-08,88.90909,0,1,5,0,2,48,24,6,14,79.8658,2.806666666666667,19,0.8516666666666667
3183,39.2,30,1e-06,97.03,0,1,5,2,1,14,12,17,7,40.3044,2.375,12,0.86
1512,98.4,6,1.108199602461785e-06,67.07317,0,0,5,2,0,41,24,23,20,632.5663,2.586144578313253,4,0.3
150,29.57,47,0.2,25.463,0,0,5,2,1,7,72,19,5,107.8682,1.93,0,1.086666666666667
1753,2.8,83,0.0001217422310672,93.52941,47,0,12,4,0,25,24,4,9,261.2319,2.597272727272728,4,0.3
2411,361.4,90,4.631182020934381e-12,95.91124,28,0,5,2,0,31,72,16,20,231.5326,2.75,11,0.8525
1546,143.67,6,5.340676460448567e-06,5.8215156,0,0,5,2,0,41,24,17,20,632.5663,2.586144578313253,4,0.3
1813,5.3,83,2.612319e-07,64.64042,42,0,12,4,0,25,7,6,14,261.2319,2.597272727272728,4,0.3
120,29.57,47,0.08,27.932,0,0,5,2,1,7,72,19,5,107.8682,1.93,0,1.086666666666667
1199,27.17,74,0.0196966569,100.22272,9,0,5,2,0,41,24,17,20,196.966569,2.54,2,1.07
4167,25.0,44,0.00625,98.556,0,1,5,0,3,24,24,7,7,79.8658,2.806666666666667,19,0.8516666666666667
3453,30.0,44,0.0005,90.958,8,1,5,0,3,24,24,7,7,195.084,2.28,16,0.805
559,29.57,47,0.08,30.864,0,0,5,2,1,7,48,19,5,107.8682,1.93,0,1.086666666666667
4308,20.0,20,3.742409710786886e-07,72.82463,0,0,13,2,0,42,24,17,20,79.8658,2.806666666666667,19,0.8516666666666667
994,14.5,82,0.0015,87.053,8,1,5,6,1,2,24,17,7,196.966569,2.54,2,1.07
606,50.0,6,0.1,31.671,8,0,5,2,1,17,48,16,7,107.8682,1.93,0,1.086666666666667
4744,173.48,8,0.01,88.743,0,0,9,7,1,4,24,7,7,81.4084,2.545,20,0.88
4872,71.0,49,0.025,90.095,0,1,2,2,1,16,48,17,7,81.4084,2.545,20,0.88
2824,10.0,91,0.2,98.046,36,0,5,2,1,4,6,19,5,231.5326,2.75,11,0.8525
4738,173.48,8,0.0025,96.998,0,0,9,7,1,4,24,7,7,81.4084,2.545,20,0.88
4389,38.0,29,1.091240621311237e-07,103.09091,0,1,5,0,0,26,24,13,15,79.8658,2.806666666666667,19,0.8516666666666667
462,39.94,16,0.01,4.7619,8,1,5,3,4,21,96,16,7,107.8682,1.93,0,1.086666666666667
1251,27.17,6,0.0196966569,97.55011,9,0,5,2,0,41,24,17,20,196.966569,2.54,2,1.07
3901,59.72,48,0.1,60.92,0,0,5,2,1,16,72,17,7,60.0843,2.926666666666666,18,0.54
1555,95.5,32,7.879642740507454e-06,25.0,0,0,5,3,0,45,24,18,21,632.5663,2.586144578313253,4,0.3
1515,98.4,6,3.278276064002453e-06,79.78142,0,0,5,2,0,41,24,18,21,632.5663,2.586144578313253,4,0.3
985,65.0,16,0.04,90.889,0,1,5,3,4,21,24,16,7,196.966569,2.54,2,1.07
4849,100.0,91,0.08,49.345,0,0,5,2,1,4,24,19,5,81.4084,2.545,20,0.88
2427,361.4,90,4.631182020934381e-12,61.01695,28,0,5,2,0,31,72,15,22,231.5326,2.75,11,0.8525
2819,10.0,94,0.003125,70.872,32,0,5,2,1,18,48,16,7,231.5326,2.75,11,0.8525
4301,190.0,40,8.729924970489892e-10,78.95425,46,0,5,0,2,45,48,1,16,79.8658,2.806666666666667,19,0.8516666666666667
427,29.57,46,0.2,14.31,0,0,5,5,1,21,48,5,0,107.8682,1.93,0,1.086666666666667
2669,30.0,73,2.076002747962153e-06,93.12741,16,1,5,10,0,29,24,18,21,231.5326,2.75,11,0.8525
864,61.46,89,0.0002,120.0,0,0,12,0,1,12,96,16,7,196.966569,2.54,2,1.07
679,29.57,47,0.08,48.087,0,0,5,2,1,7,24,5,0,107.8682,1.93,0,1.086666666666667
4289,47.83,60,3.344671865158838e-07,73.991032,0,0,10,2,0,39,24,23,20,79.8658,2.806666666666667,19,0.8516666666666667
4371,50.0,87,2.874170657884329e-08,142.5758,0,0,9,11,0,29,24,23,20,79.8658,2.806666666666667,19,0.8516666666666667
1997,78.3,48,0.05,23.968,0,0,5,2,1,16,48,17,7,240.797185,2.771428571428571,8,0.7683333333333334
3959,59.72,76,0.5,1.1338,0,0,9,3,3,11,72,17,7,60.0843,2.926666666666666,18,0.54
3831,50.0,46,0.025,99.588,0,0,5,5,1,21,4,17,7,60.0843,2.926666666666666,18,0.54
1195,28.18,6,0.0590899706999999,94.8775,9,0,5,2,0,41,72,17,20,196.966569,2.54,2,1.07
275,7.5,48,1.546019559649414e-07,37.873005,0,0,5,2,0,40,28,3,9,107.8682,1.93,0,1.086666666666667
2134,52.51,6,1.380640139209588e-08,48.16514,0,0,5,2,0,41,24,17,20,79.5454,2.67,10,0.82
3848,19.4,1,0.008,101.06,0,1,5,2,1,20,24,7,7,60.0843,2.926666666666666,18,0.54
4009,56.7,44,0.02,84.167,0,1,5,0,3,24,24,8,2,60.0843,2.926666666666666,18,0.54
23,28.41,45,5.688726688070381e-07,3.986711,0,0,5,5,0,45,72,17,20,107.8682,1.93,0,1.086666666666667
1870,49.0,41,4.231415512281526e-07,38.490566,0,1,5,11,0,29,24,17,20,502.311426,2.658636363636364,5,1.14
3278,21.6,48,0.01,95.873,0,0,5,2,1,16,24,19,5,74.69279999999999,2.675,15,0.74
3073,28.33,108,0.05,55.007,0,1,5,3,1,23,24,17,7,231.5326,2.75,11,0.8525
3844,199.89,6,0.5,61.042,0,0,5,2,1,17,24,17,7,60.0843,2.926666666666666,18,0.54
3593,30.0,46,0.005,94.698,0,0,5,5,1,21,24,7,7,60.0843,2.926666666666666,18,0.54
1568,260.0,59,2.754320596624288e-07,96.55022,22,0,9,3,0,27,24,17,20,1526.45392,2.564830917874396,4,0.3
3211,639.0,30,1.368414584861392e-11,2.455640000000002,0,1,5,0,0,38,24,14,15,40.3044,2.375,12,0.86
2174,239.0,30,2.928483916027279e-13,44.36371,0,1,5,0,0,38,12,14,15,79.5454,2.67,10,0.82
3719,386.9,83,9.684214061846834e-12,108.26087,6,0,12,4,0,25,12,17,20,60.0843,2.926666666666666,18,0.54
3387,13.5,65,2.93078455103354e-07,99.79081,33,0,5,2,0,33,24,10,16,195.084,2.28,16,0.805
3994,20.0,37,0.75,56.425,0,0,5,3,4,17,48,17,7,60.0843,2.926666666666666,18,0.54
1997,78.3,48,0.05,23.968,0,0,5,2,1,16,48,17,7,240.797185,2.771428571428571,8,0.7683333333333334
4434,35.0,6,2.793168763735985e-07,76.395164,0,0,5,2,0,41,4,24,20,79.8658,2.806666666666667,19,0.8516666666666667
