Tag,Chromophore,Solvent,Absorption max (nm),Emission max (nm),Lifetime (ns),Quantum yield,log(e/mol-1 dm3 cm-1),Molecular weight (g mol-1)
16,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,C1CCCCC1,361.0,407.0,2.6,69.7 %,4.712322622977583,255.31598
17,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CC#N,380.0,450.0,3.3,85.8 %,4.222531507086288,255.31598
18,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CCO,387.0,473.0,4.5,49.8 %,2.812134022970289,255.31598
19,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,O,396.0,489.0,5.9,69.8 %,2.7273502310969375,255.31598
20,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,C1CCCCC1,393.0,455.0,4.3,86.7 %,5.38011307401326,309.28616
21,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCOC(C)=O,409.0,501.0,5.4,3.0 %,6.220664282236177,309.28616
22,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CC#N,418.0,521.0,5.6,64.6 %,1.5521589011010717,309.28616
23,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCO,421.0,531.0,3.4,92.2 %,1.1485170451915714,309.28616
24,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,OCC(O)CO,434.0,546.0,3.5,21.2 %,5.255140199613734,309.28616
25,CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,C1CCCCC1,382.0,439.0,4.2,45.5 %,1.610128967482769,283.24828
26,CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CC#N,405.0,510.0,5.6,5.3 %,4.248302458301245,283.24828
27,CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CCO,408.0,515.0,5.1,48.4 %,6.732597917119715,283.24828
28,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,365.0,465.0,5.2,87.8 %,4.292395901495803,229.15664
29,CCN(CC)c1ccc2cc(-c3nc4ccccc4s3)c(=O)oc2c1,CC#N,454.0,501.0,3.2,13.4 %,6.384014952108883,350.44092
30,CCN(CC)c1ccc2cc(-c3nc4ccccc4n3C)c(=O)oc2c1,CC#N,403.0,480.0,2.8,84.7 %,3.1735502743942017,347.41674
31,CCNc1cc2oc(=O)cc(C)c2cc1C,CC#N,354.0,420.0,3.5,78.4 %,4.814641192299749,217.2671
32,CCNc1cc2oc(=O)cc(C(F)(F)F)c2cc1C,CC#N,383.0,481.0,7.7,70.3 %,3.5137008788513096,271.23728
33,CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CO,530.0,555.0,3.7,20.6 %,4.0382569960050425,443.56514
34,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,O,168.40750765018205,668.2104430409207,1.52,77.3 %,3.7524901433535813,445.58102
35,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,O,479.0985116167688,248.34525362725967,4.16,0.95,5.738456230621248,330.2944
36,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,[2H]O[2H],484.5785478765376,678.9540863724827,1.84,71.7 %,4.984528829972232,442.5572
37,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,[2H]O[2H],572.1649402668322,849.0931383422687,1.64,88.1 %,6.433557159118567,445.58102
38,CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,[2H]O[2H],444.9181225475914,429.6706569306681,4.36,7.0 %,3.858652329363998,443.56514
39,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,[2H]O[2H],500.4806117006922,289.5501866889676,4.36,1.9 %,6.39003279385094, 
40,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,[2H]O[2H],176.23806767833221,840.3361344178079,4.8,4.8 %,5.104333552604753,490.6012
41,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CO,504.0048644970519,1047.2057707812846,2.46,10.3 %,4.256736148363156,442.5572
42,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CO,188.32253450225866,757.9164479940739,2.15,34.4 %,2.5316545232295864,445.58102
43,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CO,467.11938310185957,861.241869203987,4.28,14.9 %,3.524349390726036,330.2944
44,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CO,757.1380714651436,339.52429059831707,4.59,1.0,3.8978625245977954,490.6012
45,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCO,291.06391209186575,342.5887260234633,2.45,97.6 %,1.4611361208830436,445.58102
46,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CCO,736.3395032143537,427.9804833150779,4.25,69.1 %,3.5956555045644465,330.2944
47,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CC(C)O,906.8297437325294,490.4658816224965,3.26,2.2 %,5.275933059375376,442.5572
48,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CC(C)O,210.37188757514963,633.0902597226041,2.69,7.2 %,1.3128019959595625,445.58102
49,CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CC(C)O,245.2015492616062,313.65972445170917,3.96,94.2 %,1.4627037680518507,443.56514
50,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CC(C)O,410.28335955821643,728.2190314277277,4.36,91.6 %,2.5362201485459837,330.2944
51,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CC(C)O,148.6325470976502,1028.8262595910005,4.36,82.3 %,1.566782329682783,490.6012
52,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CCCO,700.558398565667,777.5742859110143,3.27,16.6 %,2.795125449505769,442.5572
53,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCCO,415.62961159051355,292.07919001886984,2.79,46.3 %,2.0560122133676146,445.58102
54,CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CCCO,604.1991399334543,779.3750588339169,3.95,53.5 %,2.4021027767276615,443.56514
55,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CCCO,823.0096800127685,818.9048072573846,4.42,7.4 %,1.8149880808047356,330.2944
56,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CCCO,728.9299475637855,972.5807901682477,4.3,81.7 %,4.787644006557359,490.6012
57,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CCCCO,503.1955186453013,949.314921355786,3.37,32.8 %,1.663515937695177,442.5572
58,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCCCO,507.7532010747101,900.4966768750583,2.98,40.3 %,5.022169952055313,445.58102
59,CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CCCCO,717.8181036640608,1025.7151922761702,3.89,73.2 %,1.4854326170850394,443.56514
60,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CCCCO,303.8969997914982,855.3621127361349,4.4,78.7 %,2.3448596849115577,330.2944
61,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CCCCO,342.3452232928829,553.347586913344,4.3,11.9 %,1.2690180578018213,490.6012
62,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CCCCCCO,712.2429116908594,699.4753824918787,3.41,31.6 %,2.8089217079628224,442.5572
63,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCCCCCO,408.51466344211025,303.7176580265177,3.09,31.2 %,3.603585493770313,445.58102
64,CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CCCCCCO,1026.3456579435297,895.6529957022323,3.88,32.5 %,1.7887579757477248,443.56514
65,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CCCCCCO,761.8254263780857,865.5145398836847,4.48,14.2 %,5.0401606641729035,330.2944
66,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CCCCCCO,327.529342034702,877.2352472427854,4.27,31.3 %,3.0250453660896675,490.6012
67,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CCCCCCCCO,372.02221517833465,805.0627922757641,3.42,0.3 %,4.6432370058940995,442.5572
68,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCCCCCCCO,834.5066137766999,359.50900267706834,3.18,61.6 %,3.4829118432715576,445.58102
69,CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CCCCCCCCO,203.1537778034322,892.174321784429,3.83,39.3 %,6.405350282170566,443.56514
70,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CCCCCCCCO,920.1247050611884,664.9260168525832,4.52,60.9 %,2.157519990884161,330.2944
71,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CCCCCCCCO,562.0876935666688,997.4752198672427,4.17,90.8 %,3.7158437771296864,490.6012
72,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,O,515.0,538.0,1.425,0.2,5.822615333308266,645.87864
73,O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,O,521.0,534.0,0.115,0.02,5.235060882824965,833.86264
74,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,O,548.0,566.0,0.095,0.018,4.453801493293459,971.64288
75,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,CO,522.0,542.0,3.28,0.6,6.661058385958158,645.87864
76,O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CO,526.0,545.0,0.5,0.08,6.216799556112161,833.86264
77,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CO,556.0,571.0,0.655,0.08,2.396808801722435,971.64288
78,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,CCO,527.0,550.0,3.62,0.69,6.68120191458119,645.87864
79,O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CCO,532.0,551.0,0.565,0.08,2.292703519098753,833.86264
80,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CCO,558.0,573.0,0.82,0.11,2.049150348112015,971.64288
81,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,CC(C)O,529.0,551.0,3.715,0.76,3.809448652378831,645.87864
82,O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CC(C)O,532.0,557.0,0.66,0.1,3.223035335233357,833.86264
83,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CC(C)O,561.0,576.0,1.015,0.14,6.476213015585306,971.64288
84,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,C1CCCCC1,342.0,401.0,1.6,77.7 %,3.7136461932814466,227.30598
85,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,c1ccccc1,355.0,421.0,3.3,17.3 %,5.659191408254246,227.30598
86,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,CCN(CC)CC,343.0,406.0,10.363266220621949,78.6 %,6.379841115521917,227.30598
87,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,Clc1ccccc1,254.0,430.0,8.909046356376177,85.3 %,4.973886732532308,227.30598
88,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,CC(C)=O,350.0,452.0,2.5262742517885313,84.9 %,6.693661030304462,227.30598
89,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,OCCO,375.0,515.0,9.56231862461555,41.8 %,6.550588431198522,227.30598
90,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,OCC(O)CO,370.0,510.0,3.8,81.9 %,1.2828476795321677,227.30598
91,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,O,364.0,531.0,2.1,21.1 %,4.664101470124429,227.30598
92,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,CCCCO,549.9746478388194,477.0,21.6,90.8 %,1.1126351959577356,299.34922
93,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,CCCO,1011.3466056655991,479.0,21.0,27.0 %,3.7661794022750525,299.34922
94,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,CCO,734.9497898174355,485.0,18.0,73.2 %,2.1096851535968235,299.34922
95,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,CO,161.44727354415033,490.0,13.6,45.1 %,5.543302969221961,299.34922
96,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,OCCO,150.45993573848364,495.0,11.8,57.8 %,1.6497507316962945,299.34922
97,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,OCC(O)CO,932.4443049992507,501.0,9.0,36.0 %,5.116187911627848,299.34922
98,c1ccc2ccccc2c1,C1CCCCC1,286.0,324.0,96.0,0.23,3.58,128.17352
99,C[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,294.0,328.0,64.0,0.3,3.73,200.35604
100,C[SiH](C)c1cccc2ccccc12,C1CCCCC1,294.0,328.0,61.0,36.0 %,3.75,186.32916
101,CCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,294.0,329.0,63.0,38.4 %,3.74,242.43668
102,CC(C)(C)[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,295.0,329.0,56.0,6.2 %,3.78,242.43668
103,CCCCCCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,294.0,329.0,62.0,71.4 %,3.76,298.5442
104,C[Si](C)(C)c1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,300.0,333.0,23.0,0.33,3.87,272.53856
105,C[SiH](C)c1ccc([SiH](C)C)c2ccccc12,C1CCCCC1,300.0,333.0,30.0,24.8 %,3.86,244.4848
106,CC(C)(C)[Si](C)(C)c1ccc([Si](C)(C)C(C)(C)C)c2ccccc12,C1CCCCC1,302.0,335.0,12.0,44.7 %,3.91,356.69984
107,COc1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,312.0,327.0,10.0,0.65,3.71,230.38192
108,C[Si](C)(C)c1ccc(C#N)c2ccccc12,C1CCCCC1,315.0,333.0,11.0,0.66,3.88,225.3661
109,C[Si](C)(C)c1cccc2c(C#N)cccc12,C1CCCCC1,311.0,333.0,8.0,31.5 %,3.82,225.3661
110,C[Si](C)(C)C#Cc1cccc2ccccc12,C1CCCCC1,316.0,336.0,9.0,10.5 %,4.13,224.37804
111,C[Si](C)(C)C#Cc1ccc(C#C[Si](C)(C)C)c2ccccc12,C1CCCCC1,347.0,352.0,2.0,0.85,4.65,320.58256
112,CCCCCCCCCCCCn1cccc1/C=C/c1cc(OCCCC)c(/C=C/c2cccn2CCCCCCCCCCCC)cc1OCCCC,Cc1ccccc1,411.0,472.0,1.26,0.4,4.916316713797262,741.1972
113,CCCCCCCCCCCCn1cccc1/C=C/c1ccc(OCCCC)c2c(/C=C/c3cccn3CCCCCCCCCCCC)ccc(OCCCC)c12,Cc1ccccc1,375.0,490.0,2.74,0.35,1.2690097559612084,791.25708
114,CCCCCCCCCCCCn1cccc1/C=C/c1ccc(/C=C/c2cccn2CCCCCCCCCCCC)cc1,Cc1ccccc1,398.0,443.0,1.06,0.32,3.3260431941435757,596.98416
115,N#Cc1cc2ccc(cc2)c2cccc3cccc(c4ccc(cc4)cc(C#N)c4ccc(cc4)c4cccc5cccc(c6ccc1cc6)c54)c32,Cc1ccccc1,350.0,496.0,20.6,0.55,2.1840212660573295,658.8022
116,CCCCCCCCc1ccc(-c2ccc(/C=C(\C#N)c3ccc(-c4cccc5cccc(-c6ccc(/C(C#N)=C/c7ccc(-c8ccc(CCCCCCCC)cc8)cc7)cc6)c45)cc3)cc2)cc1,Cc1ccccc1,350.0,491.0,4.9,0.12,3.9868259685714875,911.28604
117,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCCCCC,489.0,560.0,2.4,0.72,4.77815125,752.83944
118,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,ClC(Cl)(Cl)Cl,497.3451327,571.8681319,7.461248234166582,66.3 %,5.747324396486027,752.83944
119,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,C1COCCO1,506.0,591.0,2.6,0.78,4.763427994,752.83944
120,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,ClCCl,507.6696165,599.7802198,5.478857096027674,48.8 %,2.448289238030464,752.83944
121,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCO,508.0,618.0,2.4,0.62,4.763427994,752.83944
122,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CC#N,507.0,633.0,2.5,0.67,4.755874856,752.83944
123,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CS(C)=O,525.3687316,663.0769231,2.7663759640412073,68.6 %,4.463600929854087,752.83944
124,ClP1(Cl)=NP(Cl)(Cl)=NP(Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,343.0,417.0,3.289,0.55,4.439332694,529.45446
125,ClP1(Cl)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,343.0,455.0,2.017,0.7,4.760874638,711.24792
126,ClP1(Cl)=N[P@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,343.0,419.0,3.019,0.76,4.607883744,711.24792
127,c1ccc2c(c1)OP1(=NP3(=NP(Oc4ccc5ccc6cccc7ccc4c5c67)(Oc4ccc5ccc6cccc7ccc4c5c67)=N1)Oc1ccccc1-c1ccccc1O3)Oc1ccccc1-2,ClCCl,343.0,463.0,1.228,0.82,4.897077003,937.82296
128,c1ccc2c(c1)OP1(=NP(Oc3ccc4ccc5cccc6ccc3c4c56)(Oc3ccc4ccc5cccc6ccc3c4c56)=NP(Oc3ccc4ccc5cccc6ccc3c4c56)(Oc3ccc4ccc5cccc6ccc3c4c56)=N1)Oc1ccccc1-2,ClCCl,343.0,457.0,1.233,0.89,5.189770956,1188.12236
129,c1cc2ccc3ccc(OP4(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=N4)c4ccc(c1)c2c34,ClCCl,343.0,459.0,2.496,0.92,5.551498792,1438.42176
130,CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(C)=CC(C)=[N+]6[B-](F)(F)n6c(C)cc(C)c65)cc4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1cccs1,Cc1ccccc1,580.0,623.0,3.87,0.57,2.007308831622855,846.95658
131,CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(C)=CC(C)=[N+]6[B-](F)(F)n6c(C)cc(C)c65)cc4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1ccc(-c2ccc(C3=C4C(C)=CC(C)=[N+]4[B-](F)(F)n4c(C)cc(C)c43)cc2)s1,Cc1ccccc1,615.0,637.0,3.36,0.45,1.763512754869549,1169.12156
132,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,O,664.0,683.0,0.3544,0.02,4.591621038,284.40592
133,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,CC#N,655.0,672.0,0.3397,0.15,4.819346484,284.40592
134,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,CCO,655.0,680.0,0.4618,0.09,5.049992857,284.40592
135,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,OCC(O)CO,662.0,682.0,0.4731,0.03,4.819346484,284.40592
136,COc1ccccc1-c1nc(-c2ccccc2)c2ccccn12,CC#N,374.0,479.0,7.5,0.38,4.37,300.36004
137,C(=C/c1nc(-c2ccccc2)c2ccccn12)\c1nc(-c2ccccc2)c2ccccn12,CC#N,438.0,491.0,1.0,0.1,4.35,412.4948
138,O=C(O)c1ccccc1-c1nc(-c2ccccc2)c2ccccn12,CC#N,357.0,494.0,5.5,0.02,4.02,314.34316
139,O=C(O)c1ccc(-c2nc(-c3ccccc3)c3ccccn23)cc1,CC#N,372.0,501.0,1.5,0.13,4.29,314.34316
140,O=C(O)c1ccc(-c2nc(-c3ccccc3)c3c4ccccc4ccn23)cc1,CC#N,353.0,473.0,2.5,0.38,4.17,364.40304
141,O=C(O)c1ccc(-c2ccc(-c3nc(-c4ccccc4)c4ccccn34)cc2)s1,CC#N,362.0,485.0,1.5,0.44,3.73,396.46904
142,O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCO,436.0,500.0,15.18,0.91,3.982271233,338.36516
143,O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCO,533.0,615.0,3.56,0.07,4.008600172,444.4928
144,CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,CCO,488.0,597.0,5.52,0.1,3.982723388,612.81536
145,CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,CCO,437.0,509.0,1.66,0.35,4.033423755,486.52968
146,O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCCCCC,427.0,465.0,9.118409014058853,0.61,4.08278537,338.36516
147,O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,Cc1ccccc1,435.0,483.0,9.23194787764755,0.69,3.977723605,338.36516
148,O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,ClCCl,437.0,490.0,8.949322267452388,0.93,4.004321374,338.36516
