,Diameter (nm),Cell_type,Concentration (g/L),toxicity,Coat,Line_Primary_Cell,Animal,Cell_morphology,Cell_age,Cell_organ,Time (h),Test,Test_indicator,Molecular weight (g/mol),Electronegativity,Elements,Ionic radius
44,59.72,6,0.2,31.435,0,0,5,2,1,17,72,17,7,60.0843,2.926666666666666,18,0.54
45,23.0,6,0.005,81.514,0,0,5,2,1,17,24,17,7,79.5454,2.67,10,0.82
46,61.46,16,0.04,-1.3986,0,0,5,3,4,21,96,16,7,196.966569,2.54,2,1.07
47,143.67,6,2.136270584179426e-06,81.070625,0,0,5,2,0,41,24,14,15,632.5663,2.586144578313253,4,0.3
48,145.8,90,2.825785174517878e-10,88.389831,32,0,5,2,0,31,1,14,15,231.5326,2.75,11,0.8525
49,39.7,30,0.01,96.37,0,1,5,2,1,14,12,17,7,101.9612772,2.708,1,0.675
50,46.8,30,1e-06,99.013,0,1,5,2,1,14,12,17,7,231.5326,2.75,11,0.8525
51,20.0,70,1.044902e-05,82.5,0,0,5,3,0,30,24,17,20,208.9804,2.02,3,1.035
52,10.0,91,0.1,98.267,36,0,5,2,1,4,3,17,7,231.5326,2.75,11,0.8525
53,15.0,35,0.2,44.8,0,0,5,2,3,15,48,17,7,79.8658,2.806666666666667,19,0.8516666666666667
54,29.57,46,0.025,112.01,0,0,5,5,1,21,24,19,5,107.8682,1.93,0,1.086666666666667
55,40.0,22,1.797700038733712e-08,93.856224,51,0,5,2,0,35,24,9,9,81.4084,2.545,20,0.88
56,65.0,16,0.004,72.444,0,1,5,3,4,21,96,16,7,196.966569,2.54,2,1.07
57,29.57,46,0.025,59.72,0,0,5,5,1,21,48,17,7,107.8682,1.93,0,1.086666666666667
58,13.0,10,0.006,100.71,8,0,9,3,3,11,48,19,5,196.966569,2.54,2,1.07
59,14.3,99,0.000625,88.333,0,0,5,10,1,2,24,5,0,107.8682,1.93,0,1.086666666666667
60,37.0,93,3.9184785e-05,80.071175,27,0,5,2,0,33,24,15,12,261.2319,2.597272727272728,4,0.3
61,20.0,3,0.05,107.88,8,0,5,2,1,17,48,7,7,196.966569,2.54,2,1.07
62,12.5,27,0.4,71.841,8,0,5,2,1,17,24,17,7,196.966569,2.54,2,1.07
63,95.5,32,7.879642740507454e-06,25.0,0,0,5,3,0,45,24,18,21,632.5663,2.586144578313253,4,0.3
64,40.0,6,0.01,102.87,0,0,5,2,1,17,24,16,7,79.5454,2.67,10,0.82
65,2.5,22,0.0065307974999999,105.0,35,0,5,2,0,35,24,17,20,261.2319,2.597272727272728,4,0.3
66,24.59,22,0.01,64.706,0,0,5,2,1,8,48,17,7,79.8658,2.806666666666667,19,0.8516666666666667
67,239.0,30,2.928483916027279e-13,96.62921,0,1,5,0,0,38,12,17,20,79.5454,2.67,10,0.82
68,27.02,56,2.230575061472666e-08,17.288136,33,1,5,2,0,45,24,16,20,107.8682,1.93,0,1.086666666666667
69,11.69,60,1.43182896427082e-06,100.0,0,0,10,2,0,39,24,23,20,79.8658,2.806666666666667,19,0.8516666666666667
70,20.0,47,1.044902e-07,92.72727,25,0,5,2,0,34,24,17,20,208.9804,2.02,3,1.035
71,20.0,47,1.044902e-07,97.05882,0,0,5,2,0,34,24,15,12,208.9804,2.02,3,1.035
72,6.3,70,0.005,95.305,0,0,5,3,1,3,24,17,7,196.966569,2.54,2,1.07
73,20.0,22,5.752640123947877e-08,49.626442,51,0,5,2,0,35,36,9,9,81.4084,2.545,20,0.88
74,75.0,63,1.363588770120978e-08,85.55024,0,1,5,6,0,29,3,15,22,81.4084,2.545,20,0.88
75,20.0,59,0.05,92.014,0,0,9,3,1,9,24,7,7,107.8682,1.93,0,1.086666666666667
76,29.57,47,0.04,10.649,0,0,5,2,1,7,48,5,0,107.8682,1.93,0,1.086666666666667
77,20.0,61,4.080308473352364e-08,85.67742,0,0,5,2,0,35,24,9,9,107.8682,1.93,0,1.086666666666667
78,27.1,46,0.075,14.494,8,0,5,5,1,21,24,17,7,107.8682,1.93,0,1.086666666666667
79,53.7,99,0.05,87.918,0,0,5,10,1,2,24,17,7,12.0107,2.55,4,0.3
80,260.0,59,2.754320596624287e-07,83.9738,22,0,9,3,0,27,24,17,20,1526.45392,2.564830917874396,4,0.3
81,159.0,6,3.532682265550414e-06,44.036697,0,0,5,2,0,41,4,17,20,1526.45392,2.564830917874396,4,0.3
82,639.0,30,1.763821445214679e-16,94.7259574,0,1,5,0,0,38,24,14,15,81.4084,2.545,20,0.88
83,20.0,23,0.0005,82.847,0,1,5,3,3,11,72,7,7,107.8682,1.93,0,1.086666666666667
84,100.0,63,5.987855537259018e-09,62.0,0,1,5,6,0,29,3,17,20,79.8658,2.806666666666667,19,0.8516666666666667
85,200.0,11,2.658600177942857e-09,91.099655,0,0,5,2,0,41,24,15,22,240.797185,2.771428571428571,8,0.7683333333333334
86,14.7,22,5.138081447359097e-08,96.874054,0,0,5,2,0,35,24,20,9,107.8682,1.93,0,1.086666666666667
87,39.2,30,0.0001,100.0,0,1,5,2,1,14,12,17,7,40.3044,2.375,12,0.86
88,28.41,47,2.84436334403519e-07,36.25,0,0,5,2,0,34,24,3,9,107.8682,1.93,0,1.086666666666667
89,39.7,30,0.1,91.749,0,1,5,2,1,14,12,17,7,101.9612772,2.708,1,0.675
90,50.0,57,0.005,95.686,0,0,5,2,3,16,72,17,7,196.966569,2.54,2,1.07
91,12.5,43,0.00156,98.236,0,0,5,2,1,8,24,17,7,172.1148,2.666666666666667,7,1.08
92,55.8,46,0.03,49.7,0,0,5,5,1,21,24,17,7,79.5454,2.67,10,0.82
93,10.0,91,0.15,100.04,36,0,5,2,1,4,6,19,5,231.5326,2.75,11,0.8525
94,21.0,21,3.840352009390952e-07,94.70085,8,0,5,2,0,42,24,18,21,196.966569,2.54,2,1.07
95,143.67,6,5.340676460448567e-06,1.6811781,0,0,5,2,0,41,24,14,15,632.5663,2.586144578313253,4,0.3
96,15.0,35,0.05,92.0,0,0,5,2,3,15,24,17,7,79.8658,2.806666666666667,19,0.8516666666666667
97,28.41,47,2.84436334403519e-08,92.5,0,0,5,2,0,34,24,3,9,107.8682,1.93,0,1.086666666666667
98,4.0,64,0.2,65.187,33,0,5,2,1,6,72,12,4,195.084,2.28,16,0.805
99,36.4,56,1.827437772627162e-09,82.16748,0,1,5,2,0,45,24,16,20,107.8682,1.93,0,1.086666666666667
100,30.0,81,5.190006869905383e-06,74.11347,45,1,10,0,0,26,60,4,9,231.5326,2.75,11,0.8525
101,33.69,89,0.0002,78.632,0,0,12,0,1,12,96,16,7,196.966569,2.54,2,1.07
102,6.0,6,0.004,91.277,0,0,5,2,1,17,24,17,7,231.5326,2.75,11,0.8525
103,165.0,5,5.122422126675351e-11,104.363815,0,0,5,2,0,45,3,18,21,81.4084,2.545,20,0.88
104,60.0,44,1.5021075e-07,104.93927,0,1,5,0,2,48,48,4,9,60.0843,2.926666666666666,18,0.54
105,65.0,6,0.025,92.269,0,0,5,2,1,17,24,17,7,107.8682,1.93,0,1.086666666666667
106,52.0,6,0.1,26.91,0,0,5,2,1,17,48,17,7,81.4084,2.545,20,0.88
107,98.4,6,5.870133294240077e-06,87.97814,0,0,5,2,0,41,24,17,20,632.5663,2.586144578313253,4,0.3
108,3.0,34,0.0382443999999999,95.936755,0,0,5,2,2,39,48,23,20,95.61099999999999,2.24,10,0.82
109,40.44,8,0.0025,93.996,0,0,9,7,1,4,24,7,7,81.4084,2.545,20,0.88
110,10.0,91,0.1,103.22,36,0,5,2,1,4,24,17,7,231.5326,2.75,11,0.8525
111,14.0,87,1.965364573450515e-07,22.880486,0,0,9,11,0,29,24,14,15,60.0843,2.926666666666666,18,0.54
112,28.41,47,1.137745337614076e-07,1.25,0,0,5,2,0,34,72,3,9,107.8682,1.93,0,1.086666666666667
113,40.0,6,0.1,52.759,0,0,5,2,1,17,24,16,7,79.5454,2.67,10,0.82
114,33.69,16,0.02,145.22,0,0,5,3,4,21,24,16,7,196.966569,2.54,2,1.07
115,40.0,22,0.005,98.516,4,0,5,2,1,8,30,11,0,107.8682,1.93,0,1.086666666666667
116,10.9,91,0.025,104.59,26,0,5,2,1,4,6,19,5,231.5326,2.75,11,0.8525
117,29.57,46,0.1,20.218,0,0,5,5,1,21,48,17,7,107.8682,1.93,0,1.086666666666667
118,21.2,6,0.1378765983,94.4,33,0,5,2,0,41,48,17,20,196.966569,2.54,2,1.07
119,957.0,30,1.59880642016515e-14,95.435032,0,1,5,0,0,38,12,14,15,231.5326,2.75,11,0.8525
120,61.06,16,0.005,111.89,8,1,5,3,4,21,96,16,7,196.966569,2.54,2,1.07
121,369.0,87,1.07336673543553e-10,77.90576,0,0,9,11,0,29,24,22,16,60.0843,2.926666666666666,18,0.54
122,6.3,105,0.0025,100.29,0,0,5,13,4,3,24,19,5,196.966569,2.54,2,1.07
123,30.0,75,0.005,81.98,0,0,5,3,1,21,24,17,7,196.966569,2.54,2,1.07
124,20.0,47,1.044902e-06,91.51515,27,0,5,2,0,34,24,17,20,208.9804,2.02,3,1.035
125,28.41,45,2.84436334403519e-07,5.9800663,0,0,5,5,0,45,72,17,20,107.8682,1.93,0,1.086666666666667
126,24.0,40,3.030528457142044e-10,89.64706,0,0,0,0,0,45,24,2,16,70.937445,2.495,13,0.6483333333333333
127,20.0,10,0.0046,2.0661,33,0,9,3,3,11,24,23,7,107.8682,1.93,0,1.086666666666667
128,21.06,48,0.1,55.172,0,0,5,2,1,16,72,17,7,60.0843,2.926666666666666,18,0.54
129,4.7,111,0.04375,75.467,0,0,9,12,1,5,24,17,7,172.1148,2.666666666666667,7,1.08
130,360.0,59,1.037592995676194e-07,84.03202,0,0,9,3,0,27,24,17,20,1526.45392,2.564830917874396,4,0.3
131,21.06,6,0.1,49.886,0,0,5,2,1,17,72,17,7,60.0843,2.926666666666666,18,0.54
132,30.0,75,0.001,98.604,0,0,5,3,1,21,24,17,7,196.966569,2.54,2,1.07
133,639.0,30,1.368414584861392e-13,95.505615,0,1,5,0,0,38,24,17,20,40.3044,2.375,12,0.86
134,28.18,6,0.0590899706999999,94.8775,9,0,5,2,0,41,72,17,20,196.966569,2.54,2,1.07
135,10.0,91,0.2,96.05,36,0,5,2,1,4,24,19,5,231.5326,2.75,11,0.8525
136,639.0,30,3.527642890429357e-12,31.00814,0,1,5,0,0,38,24,14,15,81.4084,2.545,20,0.88
137,10.9,91,0.01,97.788,26,0,5,2,1,4,3,17,7,231.5326,2.75,11,0.8525
138,326.5,94,2.013038793822099e-10,88.110214,50,0,5,2,0,42,24,17,20,231.5326,2.75,11,0.8525
139,145.8,87,1.130314069807151e-09,92.4786325,32,0,9,11,0,29,72,14,15,231.5326,2.75,11,0.8525
140,639.0,30,1.763821445214679e-16,93.25843,0,1,5,0,0,38,24,17,20,81.4084,2.545,20,0.88
141,4.0,50,0.4,50.0,33,0,5,3,1,17,24,12,4,195.084,2.28,16,0.805
142,29.57,47,0.06,59.23,0,0,5,2,1,7,24,17,7,107.8682,1.93,0,1.086666666666667
143,88.5,6,3.633050017893902e-11,113.78882,0,0,5,2,0,41,3,17,20,143.0914,2.413333333333334,10,0.82
144,141.0,92,0.05,9.6447,0,0,11,3,1,10,24,17,7,81.4084,2.545,20,0.88
145,28.41,45,5.688726688070381e-07,34.201954,0,0,5,5,0,45,24,18,21,107.8682,1.93,0,1.086666666666667
146,145.8,87,7.053159795596625e-11,93.7606835,32,0,9,11,0,29,72,14,15,231.5326,2.75,11,0.8525
147,150.0,25,1.33898385217855e-12,94.48621,0,1,5,3,0,45,24,16,20,79.8658,2.806666666666667,19,0.8516666666666667
148,40.0,6,0.05,113.53,8,0,5,2,1,17,24,7,7,196.966569,2.54,2,1.07
149,21.7,44,0.0001575732552,53.664707,27,1,5,0,2,48,24,17,20,196.966569,2.54,2,1.07
150,20.0,70,1.044902e-05,68.0162,0,0,5,3,0,30,24,17,20,208.9804,2.02,3,1.035
151,13.5,90,0.002315326,99.58113,0,0,5,2,0,31,48,15,12,231.5326,2.75,11,0.8525
152,18.3,92,0.0125,95.601,0,0,11,3,1,10,24,17,7,60.0843,2.926666666666666,18,0.54
153,361.4,87,3.710883029594856e-11,53.409092,28,0,9,11,0,29,120,15,22,231.5326,2.75,11,0.8525
154,19.4,1,0.064,106.22,0,1,5,2,1,20,24,7,7,60.0843,2.926666666666666,18,0.54
155,8.5,48,1.593064119830075e-07,42.805492,32,0,5,2,0,40,24,18,21,107.8682,1.93,0,1.086666666666667
156,28.33,108,0.1,86.61,0,1,5,3,1,23,6,17,7,231.5326,2.75,11,0.8525
157,20.0,21,4.445687494871202e-07,97.77778,21,0,5,2,0,42,48,18,21,196.966569,2.54,2,1.07
158,196.4,6,1.849725341605939e-10,99.48388338,0,0,5,2,0,41,24,15,18,231.5326,2.75,11,0.8525
159,361.4,90,9.277207573987139e-12,23.14015999999999,28,0,5,2,0,31,72,14,15,231.5326,2.75,11,0.8525
160,39.7,30,0.05,97.03,0,1,5,2,1,14,12,17,7,101.9612772,2.708,1,0.675
161,18.0,67,0.2,80.245,27,0,3,2,1,15,24,17,7,231.5326,2.75,11,0.8525
162,239.0,30,2.99823250324321e-11,95.505615,0,1,5,0,0,38,24,17,20,101.9612772,2.708,1,0.675
163,145.8,87,7.053159795596625e-11,93.7606835,32,0,9,11,0,29,24,14,15,231.5326,2.75,11,0.8525
164,13.5,28,2.315326e-05,93.43899,0,0,5,2,0,32,48,16,20,231.5326,2.75,11,0.8525
165,13.0,78,6.1e-05,80.395,8,0,12,7,1,17,24,23,7,196.966569,2.54,2,1.07
166,28.33,108,0.01,48.87,0,1,5,3,1,23,48,17,7,231.5326,2.75,11,0.8525
167,1.4,22,0.0065307974999999,4.921875,0,0,5,2,0,35,24,17,20,261.2319,2.597272727272728,4,0.3
168,10.0,86,0.001,123.42,0,0,9,11,1,1,24,25,7,60.0843,2.926666666666666,18,0.54
169,28.18,74,0.0984832844999999,104.76614,9,0,5,2,0,41,72,17,20,196.966569,2.54,2,1.07
170,13.0,10,2.8e-05,83.921,8,0,9,3,3,11,24,23,7,196.966569,2.54,2,1.07
171,39.2,30,0.02,92.739,0,1,5,2,1,14,12,17,7,40.3044,2.375,12,0.86
172,30.0,87,9.786087107460696e-24,81.84143,0,0,9,11,0,29,96,15,12,58.933195,1.88,8,0.7683333333333334
173,24.6,35,0.36,58.297,0,0,5,2,3,15,48,19,5,195.084,2.28,16,0.805
174,957.0,30,1.59880642016515e-11,95.505615,0,1,5,0,0,38,12,17,20,231.5326,2.75,11,0.8525
175,10.9,91,0.1,94.679,26,0,5,2,1,4,6,19,5,231.5326,2.75,11,0.8525
176,361.4,90,4.631182020934381e-12,93.644055,28,0,5,2,0,31,4,14,15,231.5326,2.75,11,0.8525
177,40.0,95,1.515575282342455e-08,75.09091,31,0,9,0,0,28,72,2,16,196.966569,2.54,2,1.07
178,20.0,47,1.157663e-05,79.296875,25,0,5,2,0,34,24,15,12,231.5326,2.75,11,0.8525
179,100.0,59,0.05,91.566,0,0,9,3,1,9,72,7,7,107.8682,1.93,0,1.086666666666667
180,326.5,73,2.013038793822099e-12,97.067406,50,1,5,10,0,29,24,14,15,231.5326,2.75,11,0.8525
181,639.0,30,1.368414584861392e-11,2.455640000000002,0,1,5,0,0,38,24,14,15,40.3044,2.375,12,0.86
182,90.0,22,0.2,63.25,0,0,5,2,1,8,24,7,7,107.8682,1.93,0,1.086666666666667
183,40.0,95,1.515575282342455e-08,45.81818,31,0,9,0,0,28,72,2,16,196.966569,2.54,2,1.07
184,20.0,22,2.876320061973938e-07,20.144733,51,0,5,2,0,35,24,9,9,81.4084,2.545,20,0.88
185,145.8,87,1.412892587258939e-10,102.41936,32,0,9,11,0,29,72,9,9,231.5326,2.75,11,0.8525
186,30.0,13,1.104807498872562e-08,100.97087,0,0,9,3,0,47,48,16,20,95.94,2.16,14,0.775
187,30.0,6,0.005,65.564,0,0,5,2,1,17,48,7,7,79.5454,2.67,10,0.82
188,7.0,54,0.015,56.506,8,0,5,6,1,2,24,17,7,196.966569,2.54,2,1.07
189,30.09,106,0.1,0.385,0,1,5,14,1,4,48,19,5,79.5454,2.67,10,0.82
190,8.0,47,0.0005,90.712,7,0,5,2,1,7,72,17,7,231.5326,2.75,11,0.8525
191,28.41,45,1.422181672017595e-06,4.255319,0,0,5,5,0,45,48,3,9,107.8682,1.93,0,1.086666666666667
192,170.0,102,6.82254027449561e-08,104.09638,16,0,8,2,0,39,24,17,20,231.5326,2.75,11,0.8525
193,60.0,28,0.000814084,89.433136,0,0,5,2,0,32,48,16,20,81.4084,2.545,20,0.88
194,361.4,87,3.710883029594856e-11,60.795456,28,0,9,11,0,29,72,15,22,231.5326,2.75,11,0.8525
195,65.0,6,0.2,48.235,0,0,5,2,1,17,48,17,7,107.8682,1.93,0,1.086666666666667
196,12.0,48,4.054692867113581e-05,80.49265,3,0,5,2,0,40,6,3,9,231.5326,2.75,11,0.8525
197,79.6,84,6.194628195007024e-10,44.062363,0,0,5,2,0,44,24,25,20,78.96,2.55,17,1.013333333333333
198,38.0,44,1.091240621311237e-09,99.818184,0,1,5,0,2,48,24,10,16,79.8658,2.806666666666667,19,0.8516666666666667
199,29.57,47,0.06,5.7785,0,0,5,2,1,7,72,17,7,107.8682,1.93,0,1.086666666666667
200,20.0,23,0.005,69.931,0,1,5,3,3,11,48,7,7,107.8682,1.93,0,1.086666666666667
201,239.0,30,5.996465006486422e-14,95.505615,0,1,5,0,0,38,12,17,20,101.9612772,2.708,1,0.675
202,59.72,48,0.5,42.299,0,0,5,2,1,16,72,17,7,60.0843,2.926666666666666,18,0.54
203,27.17,74,0.0196966569,103.42985,9,0,5,2,0,41,48,17,20,196.966569,2.54,2,1.07
204,21.06,48,0.01,57.011,0,0,5,2,1,16,72,17,7,60.0843,2.926666666666666,18,0.54
205,61.06,16,0.025,62.704,8,1,5,3,4,21,24,16,7,196.966569,2.54,2,1.07
206,13.0,37,1.0,78.212,0,0,5,3,4,17,48,17,7,101.9612772,2.708,1,0.675
207,56.0,40,3.409629838544904e-08,63.267975,46,0,5,0,2,45,72,1,16,79.8658,2.806666666666667,19,0.8516666666666667
208,361.4,87,3.710883029594856e-11,91.113958,28,0,9,11,0,29,24,14,15,231.5326,2.75,11,0.8525
209,12.5,50,0.2,29.665,18,0,5,3,1,17,48,12,4,195.084,2.28,16,0.805
210,10.0,47,5.54392951468032e-06,107.85714,0,0,5,2,0,34,24,1,16,107.8682,1.93,0,1.086666666666667
211,24.0,6,1.664537072901585e-08,89.70646,0,0,5,2,0,41,48,23,20,81.4084,2.545,20,0.88
212,27.17,74,0.1378765983,92.47216,9,0,5,2,0,41,48,17,20,196.966569,2.54,2,1.07
213,200.0,11,4.040240897939824e-10,84.586205,0,0,5,2,0,41,24,10,16,240.797185,2.771428571428571,8,0.7683333333333334
214,35.0,47,1.29304478476509e-07,106.42857,0,0,5,2,0,34,24,1,16,107.8682,1.93,0,1.086666666666667
215,90.0,22,0.1,68.69,0,0,5,2,1,8,24,7,7,107.8682,1.93,0,1.086666666666667
216,639.0,30,1.368414584861392e-15,45.774193,0,1,5,0,0,38,24,14,15,40.3044,2.375,12,0.86
217,100.0,91,0.02,56.719,0,0,5,2,1,4,48,17,7,81.4084,2.545,20,0.88
218,239.0,30,2.99823250324321e-11,36.03871,0,1,5,0,0,38,24,14,15,101.9612772,2.708,1,0.675
219,361.4,90,7.421766059189711e-11,91.701108,28,0,5,2,0,31,1,14,15,231.5326,2.75,11,0.8525
220,21.06,76,0.5,17.007,0,0,9,3,3,11,72,17,7,60.0843,2.926666666666666,18,0.54
221,200.0,11,7.972161654064464e-11,100.17182,0,0,5,2,0,41,24,15,22,240.797185,2.771428571428571,8,0.7683333333333334
222,8.5,48,1.062042746553383e-08,137.892,32,0,5,2,0,40,24,18,21,107.8682,1.93,0,1.086666666666667
223,50.0,75,0.01,77.284,0,0,5,3,1,21,48,17,7,196.966569,2.54,2,1.07
224,34.64,110,0.01,92.462,0,1,9,3,1,21,6,17,7,720.642,2.55,4,0.3
225,18.0,70,0.0025,64.848,0,0,5,3,1,3,24,17,7,196.966569,2.54,2,1.07
226,13.5,47,5.861569102067081e-07,70.5,19,0,5,2,0,34,48,10,16,195.084,2.28,16,0.805
227,10.0,94,0.05,2.7829,32,0,5,2,1,18,48,16,7,231.5326,2.75,11,0.8525
228,20.0,34,1.96966569e-07,100.75949,0,0,5,2,2,39,48,23,20,196.966569,2.54,2,1.07
229,27.7,46,0.01,85.031,27,0,5,5,1,21,48,17,7,107.8682,1.93,0,1.086666666666667
230,123.0,40,3.217777271163934e-09,90.290245,53,0,5,0,2,45,72,16,20,79.8658,2.806666666666667,19,0.8516666666666667
231,4.0,47,0.2,68.483,33,0,5,2,1,7,72,12,4,195.084,2.28,16,0.805
232,13.5,47,2.93078455103354e-07,67.5,19,0,5,2,0,34,72,10,16,195.084,2.28,16,0.805
233,88.5,85,3.573014885845138e-11,88.04233,0,0,5,7,0,29,24,17,20,143.0914,2.413333333333334,10,0.82
234,361.4,87,7.421766059189711e-11,91.132449,28,0,9,11,0,29,24,14,15,231.5326,2.75,11,0.8525
235,160.5,7,1.737910671002193e-09,124.0,0,0,5,2,0,46,24,16,20,79.8658,2.806666666666667,19,0.8516666666666667
236,10.9,91,0.15,91.442,26,0,5,2,1,4,3,17,7,231.5326,2.75,11,0.8525
237,95.5,32,1.212252729308839e-05,0.0,0,0,5,3,0,45,24,18,21,632.5663,2.586144578313253,4,0.3
238,18.76,8,0.04,36.023,0,0,9,7,1,4,24,7,7,81.4084,2.545,20,0.88
239,47.83,51,3.344671865158838e-07,89.686099,0,0,5,14,0,39,24,23,20,79.8658,2.806666666666667,19,0.8516666666666667
240,437.0,83,1.680181767053468e-12,103.85965,25,0,12,4,0,25,24,17,20,60.0843,2.926666666666666,18,0.54
241,160.5,7,2.896517785003655e-10,104.8,0,0,5,2,0,46,3,16,20,79.8658,2.806666666666667,19,0.8516666666666667
242,21.0,7,0.08,106.15,0,0,5,2,1,22,3,16,7,79.8658,2.806666666666667,19,0.8516666666666667
243,60.0,25,1.637636662378278e-08,81.75469,0,1,5,3,0,45,4,16,20,81.4084,2.545,20,0.88
244,250.0,38,0.0078125,75.638,2,1,5,3,1,13,24,17,7,63.546,1.9,10,0.82
245,30.0,87,8.634155399995486e-20,85.087006,0,0,9,11,0,29,96,4,9,51.9961,1.66,9,0.94
246,8.0,87,5.230119009955303e-07,99.36831,0,0,9,11,0,29,24,23,20,40.3044,2.375,12,0.86
247,170.0,102,2.28178604498181e-08,100.481926,16,0,8,2,0,39,24,17,20,231.5326,2.75,11,0.8525
248,30.0,75,0.001,96.193,0,0,5,3,1,21,72,17,7,196.966569,2.54,2,1.07
